Sr. No,Image,Object_Class,Confidence
82,08234.png,person,tensor(0.51909)
82,08234.png,person,tensor(0.50671)
86,32507.png,person,tensor(0.54087)
89,47128.png,person,tensor(0.82199)
90,19730.png,person,tensor(0.78263)
91,38574.png,person,tensor(0.76204)
91,38574.png,skateboard,tensor(0.73526)
92,80297.png,frisbee,tensor(0.70126)
92,80297.png,person,tensor(0.65470)
92,80297.png,person,tensor(0.58068)
92,80297.png,person,tensor(0.53524)
92,80297.png,person,tensor(0.51409)
92,80297.png,person,tensor(0.51131)
95,76942.png,person,tensor(0.85392)
95,76942.png,surfboard,tensor(0.78482)
95,76942.png,person,tensor(0.70828)
95,76942.png,person,tensor(0.64454)
96,09785.png,person,tensor(0.90592)
96,09785.png,person,tensor(0.90419)
98,83095.png,person,tensor(0.89609)
98,83095.png,car,tensor(0.56492)
100,83264.png,person,tensor(0.85858)
100,83264.png,horse,tensor(0.70807)
101,34068.png,person,tensor(0.90421)
101,34068.png,person,tensor(0.74081)
102,60739.png,boat,tensor(0.50823)
103,47215.png,car,tensor(0.92312)
103,47215.png,car,tensor(0.55993)
105,67498.png,person,tensor(0.80627)
105,67498.png,person,tensor(0.78489)
105,67498.png,tie,tensor(0.74149)
105,67498.png,person,tensor(0.68997)
105,67498.png,person,tensor(0.61279)
107,61580.png,person,tensor(0.73544)
107,61580.png,person,tensor(0.72366)
107,61580.png,person,tensor(0.63939)
107,61580.png,person,tensor(0.59847)
107,61580.png,person,tensor(0.58092)
107,61580.png,person,tensor(0.57541)
107,61580.png,person,tensor(0.52300)
107,61580.png,person,tensor(0.50296)
109,82651.png,person,tensor(0.81295)
110,95317.png,person,tensor(0.75835)
110,95317.png,person,tensor(0.74525)
110,95317.png,person,tensor(0.64691)
110,95317.png,person,tensor(0.52958)
112,26407.png,person,tensor(0.75425)
112,26407.png,person,tensor(0.70015)
112,26407.png,person,tensor(0.65200)
112,26407.png,person,tensor(0.59706)
113,62598.png,frisbee,tensor(0.58159)
113,62598.png,person,tensor(0.52127)
114,62081.png,person,tensor(0.61430)
115,79853.png,person,tensor(0.73164)
115,79853.png,person,tensor(0.62298)
116,95843.png,person,tensor(0.62427)
116,95843.png,person,tensor(0.59542)
116,95843.png,person,tensor(0.57152)
116,95843.png,person,tensor(0.53133)
116,95843.png,person,tensor(0.52958)
116,95843.png,person,tensor(0.51746)
117,85293.png,clock,tensor(0.84618)
119,53827.png,person,tensor(0.91800)
119,53827.png,person,tensor(0.89695)
120,97012.png,person,tensor(0.54932)
121,81962.png,person,tensor(0.86733)
121,81962.png,tie,tensor(0.52509)
125,24517.png,chair,tensor(0.72834)
127,02194.png,person,tensor(0.86380)
127,02194.png,person,tensor(0.81301)
127,02194.png,person,tensor(0.67483)
127,02194.png,person,tensor(0.66959)
127,02194.png,person,tensor(0.65807)
127,02194.png,person,tensor(0.61828)
127,02194.png,person,tensor(0.57841)
127,02194.png,person,tensor(0.52104)
127,02194.png,person,tensor(0.51943)
129,80915.png,person,tensor(0.81886)
129,80915.png,person,tensor(0.79077)
130,92637.png,person,tensor(0.57475)
131,20413.png,person,tensor(0.51166)
132,85426.png,person,tensor(0.63105)
136,05928.png,horse,tensor(0.67370)
137,70264.png,person,tensor(0.74245)
137,70264.png,tie,tensor(0.59881)
138,21948.png,person,tensor(0.79806)
139,59143.png,person,tensor(0.54236)
140,17892.png,person,tensor(0.80036)
141,82539.png,person,tensor(0.86041)
141,82539.png,cell phone,tensor(0.77680)
141,82539.png,person,tensor(0.74047)
141,82539.png,person,tensor(0.71115)
141,82539.png,person,tensor(0.58588)
142,18790.png,person,tensor(0.79741)
142,18790.png,bottle,tensor(0.58946)
143,89430.png,cup,tensor(0.78943)
143,89430.png,wine glass,tensor(0.65547)
143,89430.png,person,tensor(0.55442)
148,13276.png,person,tensor(0.75145)
148,13276.png,cell phone,tensor(0.71633)
148,13276.png,person,tensor(0.61292)
148,13276.png,person,tensor(0.60730)
150,25791.png,person,tensor(0.87622)
150,25791.png,person,tensor(0.87371)
150,25791.png,person,tensor(0.85303)
150,25791.png,person,tensor(0.84011)
150,25791.png,person,tensor(0.83453)
150,25791.png,person,tensor(0.77001)
150,25791.png,person,tensor(0.70355)
150,25791.png,person,tensor(0.69936)
150,25791.png,person,tensor(0.69346)
150,25791.png,person,tensor(0.68462)
150,25791.png,bowl,tensor(0.68348)
150,25791.png,bottle,tensor(0.66085)
150,25791.png,bottle,tensor(0.64026)
150,25791.png,person,tensor(0.61845)
150,25791.png,bowl,tensor(0.61698)
150,25791.png,bottle,tensor(0.59284)
150,25791.png,bottle,tensor(0.54689)
151,86051.png,person,tensor(0.86257)
151,86051.png,bowl,tensor(0.55926)
154,13587.png,sheep,tensor(0.75192)
154,13587.png,sheep,tensor(0.70292)
155,08419.png,person,tensor(0.75558)
155,08419.png,person,tensor(0.75089)
155,08419.png,person,tensor(0.74548)
155,08419.png,person,tensor(0.72257)
155,08419.png,person,tensor(0.71737)
155,08419.png,person,tensor(0.69392)
155,08419.png,person,tensor(0.63640)
155,08419.png,person,tensor(0.59861)
155,08419.png,person,tensor(0.52505)
157,34609.png,person,tensor(0.72022)
159,61274.png,car,tensor(0.84372)
159,61274.png,person,tensor(0.50495)
161,51869.png,person,tensor(0.74718)
161,51869.png,traffic light,tensor(0.71724)
161,51869.png,person,tensor(0.66025)
161,51869.png,traffic light,tensor(0.59262)
163,30918.png,person,tensor(0.51767)
164,96573.png,person,tensor(0.51150)
165,84291.png,person,tensor(0.84357)
166,69743.png,person,tensor(0.76343)
168,45780.png,chair,tensor(0.76923)
168,45780.png,bottle,tensor(0.69840)
168,45780.png,potted plant,tensor(0.63092)
168,45780.png,person,tensor(0.53486)
169,46093.png,person,tensor(0.88504)
169,46093.png,person,tensor(0.87788)
169,46093.png,person,tensor(0.81612)
169,46093.png,car,tensor(0.79106)
169,46093.png,person,tensor(0.76024)
169,46093.png,car,tensor(0.73358)
169,46093.png,car,tensor(0.73339)
169,46093.png,backpack,tensor(0.64573)
169,46093.png,car,tensor(0.61838)
169,46093.png,car,tensor(0.60609)
171,25369.png,person,tensor(0.66226)
171,25369.png,person,tensor(0.57421)
171,25369.png,person,tensor(0.52050)
173,06927.png,person,tensor(0.85360)
175,21405.png,person,tensor(0.69546)
176,80321.png,cat,tensor(0.70307)
177,08516.png,person,tensor(0.92333)
177,08516.png,person,tensor(0.57222)
178,19284.png,person,tensor(0.75777)
178,19284.png,person,tensor(0.69160)
180,61379.png,person,tensor(0.61124)
182,23187.png,person,tensor(0.61119)
182,23187.png,tie,tensor(0.57432)
183,39018.png,person,tensor(0.81528)
183,39018.png,person,tensor(0.76140)
183,39018.png,person,tensor(0.65638)
185,94163.png,person,tensor(0.61433)
187,50167.png,person,tensor(0.64758)
188,53249.png,person,tensor(0.70890)
188,53249.png,person,tensor(0.70564)
190,27491.png,person,tensor(0.56552)
192,21043.png,person,tensor(0.90804)
192,21043.png,person,tensor(0.57033)
193,02789.png,person,tensor(0.55106)
194,94071.png,person,tensor(0.89683)
195,13748.png,person,tensor(0.75974)
196,80965.png,person,tensor(0.88510)
197,81953.png,person,tensor(0.57556)
198,62814.png,person,tensor(0.50659)
199,76341.png,dog,tensor(0.59539)
202,49372.png,person,tensor(0.89056)
202,49372.png,person,tensor(0.86333)
202,49372.png,person,tensor(0.83526)
202,49372.png,person,tensor(0.55777)
202,49372.png,person,tensor(0.50890)
203,07391.png,person,tensor(0.83109)
203,07391.png,person,tensor(0.81928)
203,07391.png,person,tensor(0.78233)
203,07391.png,person,tensor(0.73659)
203,07391.png,person,tensor(0.67515)
203,07391.png,person,tensor(0.67191)
203,07391.png,person,tensor(0.64217)
203,07391.png,person,tensor(0.58506)
203,07391.png,person,tensor(0.57569)
204,15728.png,person,tensor(0.65612)
205,71092.png,person,tensor(0.80408)
205,71092.png,person,tensor(0.70805)
205,71092.png,person,tensor(0.53597)
206,38290.png,tie,tensor(0.71184)
207,14296.png,person,tensor(0.86288)
208,87625.png,person,tensor(0.73469)
208,87625.png,potted plant,tensor(0.52027)
210,63490.png,person,tensor(0.53542)
211,30579.png,person,tensor(0.62497)
212,09827.png,person,tensor(0.52384)
214,06831.png,person,tensor(0.74221)
216,90637.png,person,tensor(0.52285)
219,38217.png,person,tensor(0.74557)
220,81679.png,person,tensor(0.88270)
220,81679.png,person,tensor(0.87573)
220,81679.png,person,tensor(0.78643)
220,81679.png,person,tensor(0.76055)
220,81679.png,person,tensor(0.60133)
222,32746.png,tie,tensor(0.70287)
222,32746.png,person,tensor(0.65085)
223,69134.png,person,tensor(0.57320)
223,69134.png,book,tensor(0.51435)
223,69134.png,suitcase,tensor(0.50717)
224,21435.png,person,tensor(0.84367)
224,21435.png,person,tensor(0.61265)
226,85136.png,person,tensor(0.65984)
228,19047.png,person,tensor(0.90171)
228,19047.png,vase,tensor(0.75143)
230,63052.png,dog,tensor(0.51377)
232,49806.png,person,tensor(0.91052)
232,49806.png,person,tensor(0.85839)
232,49806.png,person,tensor(0.83603)
232,49806.png,person,tensor(0.78689)
232,49806.png,tie,tensor(0.73877)
232,49806.png,person,tensor(0.70775)
232,49806.png,tie,tensor(0.69127)
232,49806.png,tie,tensor(0.56761)
232,49806.png,tie,tensor(0.56645)
232,49806.png,potted plant,tensor(0.51345)
234,81254.png,person,tensor(0.74558)
234,81254.png,tie,tensor(0.70696)
236,36470.png,donut,tensor(0.93765)
236,36470.png,donut,tensor(0.92808)
236,36470.png,donut,tensor(0.92770)
236,36470.png,donut,tensor(0.91836)
236,36470.png,donut,tensor(0.91758)
236,36470.png,donut,tensor(0.89165)
236,36470.png,donut,tensor(0.88586)
236,36470.png,donut,tensor(0.88112)
236,36470.png,donut,tensor(0.85537)
236,36470.png,donut,tensor(0.70973)
236,36470.png,donut,tensor(0.65577)
236,36470.png,donut,tensor(0.58302)
236,36470.png,donut,tensor(0.55757)
237,46127.png,bottle,tensor(0.69234)
238,02165.png,person,tensor(0.92108)
238,02165.png,person,tensor(0.69291)
239,58012.png,person,tensor(0.83847)
240,73652.png,person,tensor(0.70970)
240,73652.png,person,tensor(0.61353)
241,13579.png,person,tensor(0.89600)
241,13579.png,person,tensor(0.89064)
241,13579.png,person,tensor(0.86668)
241,13579.png,tie,tensor(0.67574)
242,70193.png,person,tensor(0.80728)
244,94876.png,person,tensor(0.73061)
245,46793.png,person,tensor(0.56786)
246,79302.png,person,tensor(0.83790)
246,79302.png,person,tensor(0.69743)
248,37128.png,cup,tensor(0.74040)
248,37128.png,person,tensor(0.73355)
248,37128.png,cup,tensor(0.72354)
248,37128.png,person,tensor(0.72273)
249,29150.png,person,tensor(0.86702)
253,79615.png,person,tensor(0.56401)
255,13465.png,person,tensor(0.63645)
255,13465.png,person,tensor(0.55102)
255,13465.png,person,tensor(0.54163)
255,13465.png,person,tensor(0.52311)
257,46925.png,person,tensor(0.82831)
259,65320.png,person,tensor(0.84330)
259,65320.png,person,tensor(0.70542)
259,65320.png,tie,tensor(0.52763)
265,62381.png,person,tensor(0.64907)
266,18275.png,person,tensor(0.68214)
267,93728.png,person,tensor(0.89978)
267,93728.png,person,tensor(0.79332)
267,93728.png,person,tensor(0.61498)
268,96104.png,person,tensor(0.57337)
268,96104.png,person,tensor(0.53597)
268,96104.png,person,tensor(0.50907)
269,27341.png,person,tensor(0.62702)
269,27341.png,wine glass,tensor(0.61115)
270,60254.png,person,tensor(0.79119)
270,60254.png,cup,tensor(0.60411)
272,28147.png,person,tensor(0.61026)
273,54170.png,laptop,tensor(0.70147)
273,54170.png,bed,tensor(0.60955)
273,54170.png,person,tensor(0.54735)
273,54170.png,bed,tensor(0.51863)
276,09152.png,person,tensor(0.55900)
281,29475.png,person,tensor(0.79145)
282,21083.png,person,tensor(0.55683)
282,21083.png,person,tensor(0.52191)
285,62354.png,tie,tensor(0.72629)
285,62354.png,person,tensor(0.53639)
286,16470.png,tie,tensor(0.90902)
286,16470.png,person,tensor(0.76200)
286,16470.png,person,tensor(0.75603)
286,16470.png,person,tensor(0.54498)
287,58063.png,person,tensor(0.93595)
288,43798.png,person,tensor(0.55624)
289,37548.png,person,tensor(0.85086)
289,37548.png,person,tensor(0.77455)
289,37548.png,person,tensor(0.73046)
289,37548.png,person,tensor(0.72261)
289,37548.png,person,tensor(0.72006)
289,37548.png,person,tensor(0.58432)
289,37548.png,person,tensor(0.57171)
289,37548.png,person,tensor(0.53723)
290,13492.png,cup,tensor(0.87774)
290,13492.png,chair,tensor(0.50755)
292,87954.png,person,tensor(0.65963)
293,14685.png,person,tensor(0.93972)
293,14685.png,person,tensor(0.90224)
294,81642.png,person,tensor(0.62656)
296,34059.png,person,tensor(0.71487)
296,34059.png,person,tensor(0.65350)
297,25381.png,cell phone,tensor(0.57952)
298,21387.png,person,tensor(0.71157)
298,21387.png,person,tensor(0.69255)
298,21387.png,person,tensor(0.63803)
298,21387.png,cake,tensor(0.54477)
298,21387.png,cake,tensor(0.53016)
298,21387.png,cake,tensor(0.51758)
301,51089.png,person,tensor(0.80346)
301,51089.png,person,tensor(0.79675)
301,51089.png,person,tensor(0.76419)
301,51089.png,person,tensor(0.62342)
301,51089.png,person,tensor(0.57243)
301,51089.png,person,tensor(0.52052)
302,13894.png,cat,tensor(0.61287)
302,13894.png,cat,tensor(0.60320)
303,89241.png,person,tensor(0.69423)
304,46387.png,person,tensor(0.62297)
306,26405.png,tie,tensor(0.83625)
306,26405.png,person,tensor(0.74953)
308,50768.png,wine glass,tensor(0.82461)
309,46085.png,person,tensor(0.86237)
309,46085.png,person,tensor(0.78670)
309,46085.png,car,tensor(0.74867)
309,46085.png,person,tensor(0.50853)
310,09216.png,person,tensor(0.86934)
310,09216.png,person,tensor(0.59765)
312,42380.png,person,tensor(0.87825)
312,42380.png,person,tensor(0.87332)
312,42380.png,person,tensor(0.84408)
312,42380.png,person,tensor(0.66489)
312,42380.png,tie,tensor(0.61491)
312,42380.png,cat,tensor(0.51233)
313,85042.png,person,tensor(0.84645)
313,85042.png,person,tensor(0.66290)
313,85042.png,person,tensor(0.65355)
313,85042.png,person,tensor(0.56328)
314,90283.png,person,tensor(0.54176)
314,90283.png,person,tensor(0.53455)
315,25943.png,person,tensor(0.67671)
316,32587.png,person,tensor(0.53498)
317,93410.png,person,tensor(0.79245)
317,93410.png,suitcase,tensor(0.65754)
318,30175.png,person,tensor(0.64469)
318,30175.png,person,tensor(0.50879)
318,30175.png,person,tensor(0.50801)
318,30175.png,chair,tensor(0.50025)
319,05498.png,sink,tensor(0.56436)
320,65149.png,person,tensor(0.77246)
320,65149.png,car,tensor(0.52326)
322,47918.png,person,tensor(0.89643)
322,47918.png,person,tensor(0.84410)
322,47918.png,person,tensor(0.71869)
322,47918.png,person,tensor(0.67755)
322,47918.png,person,tensor(0.60309)
324,09174.png,person,tensor(0.54680)
325,58672.png,person,tensor(0.79425)
325,58672.png,tie,tensor(0.78085)
325,58672.png,person,tensor(0.71595)
325,58672.png,person,tensor(0.68842)
325,58672.png,bowl,tensor(0.62518)
325,58672.png,tie,tensor(0.59899)
325,58672.png,person,tensor(0.59157)
325,58672.png,person,tensor(0.57200)
325,58672.png,person,tensor(0.55776)
325,58672.png,tie,tensor(0.52789)
327,80463.png,person,tensor(0.85644)
328,16598.png,person,tensor(0.60547)
329,36789.png,person,tensor(0.65965)
329,36789.png,person,tensor(0.52146)
330,84052.png,person,tensor(0.61031)
331,60182.png,person,tensor(0.86114)
331,60182.png,cell phone,tensor(0.73056)
331,60182.png,person,tensor(0.64999)
331,60182.png,person,tensor(0.64752)
332,84653.png,person,tensor(0.69840)
333,48160.png,person,tensor(0.83254)
333,48160.png,person,tensor(0.76332)
334,42015.png,tie,tensor(0.75402)
335,46918.png,person,tensor(0.72517)
335,46918.png,person,tensor(0.72422)
335,46918.png,person,tensor(0.67229)
335,46918.png,person,tensor(0.52242)
336,95386.png,dog,tensor(0.91450)
336,95386.png,dog,tensor(0.79138)
337,25837.png,tie,tensor(0.54009)
337,25837.png,person,tensor(0.51910)
340,86425.png,person,tensor(0.85252)
340,86425.png,person,tensor(0.71434)
341,46807.png,person,tensor(0.85212)
341,46807.png,car,tensor(0.56917)
341,46807.png,person,tensor(0.56248)
341,46807.png,person,tensor(0.54209)
341,46807.png,chair,tensor(0.51102)
342,63207.png,tie,tensor(0.80568)
342,63207.png,person,tensor(0.78553)
345,48251.png,person,tensor(0.69442)
346,42103.png,teddy bear,tensor(0.72476)
347,40718.png,person,tensor(0.86895)
347,40718.png,person,tensor(0.77017)
347,40718.png,person,tensor(0.57637)
350,26781.png,train,tensor(0.53387)
351,56714.png,person,tensor(0.73782)
352,74038.png,person,tensor(0.55715)
353,97201.png,potted plant,tensor(0.55686)
355,31695.png,person,tensor(0.80731)
355,31695.png,person,tensor(0.63165)
355,31695.png,person,tensor(0.62419)
355,31695.png,person,tensor(0.61720)
355,31695.png,person,tensor(0.53341)
355,31695.png,person,tensor(0.50066)
356,16947.png,person,tensor(0.86199)
356,16947.png,tie,tensor(0.82600)
356,16947.png,person,tensor(0.82466)
356,16947.png,tie,tensor(0.64459)
356,16947.png,person,tensor(0.58129)
356,16947.png,tie,tensor(0.55523)
356,16947.png,person,tensor(0.53988)
357,32709.png,person,tensor(0.75083)
357,32709.png,person,tensor(0.56823)
358,93761.png,person,tensor(0.72507)
360,04632.png,tie,tensor(0.73888)
361,57284.png,person,tensor(0.65565)
362,39452.png,hot dog,tensor(0.53922)
364,64327.png,person,tensor(0.92451)
364,64327.png,person,tensor(0.89679)
364,64327.png,person,tensor(0.86491)
364,64327.png,person,tensor(0.84989)
364,64327.png,person,tensor(0.66987)
364,64327.png,person,tensor(0.66861)
364,64327.png,person,tensor(0.61455)
364,64327.png,person,tensor(0.61363)
364,64327.png,person,tensor(0.60818)
364,64327.png,person,tensor(0.57610)
364,64327.png,person,tensor(0.52725)
364,64327.png,person,tensor(0.50576)
364,64327.png,person,tensor(0.50507)
365,26573.png,person,tensor(0.90184)
365,26573.png,frisbee,tensor(0.77243)
366,68491.png,person,tensor(0.89943)
368,41678.png,person,tensor(0.87908)
368,41678.png,person,tensor(0.87179)
368,41678.png,person,tensor(0.85469)
368,41678.png,person,tensor(0.77710)
368,41678.png,person,tensor(0.71962)
368,41678.png,person,tensor(0.71924)
368,41678.png,tie,tensor(0.70451)
368,41678.png,tie,tensor(0.66640)
368,41678.png,tie,tensor(0.51356)
369,31876.png,bowl,tensor(0.60649)
369,31876.png,cup,tensor(0.52333)
369,31876.png,person,tensor(0.51776)
370,01527.png,person,tensor(0.58798)
371,98350.png,vase,tensor(0.75484)
374,91683.png,person,tensor(0.88069)
376,38072.png,person,tensor(0.57444)
377,67082.png,person,tensor(0.79124)
377,67082.png,person,tensor(0.66246)
377,67082.png,person,tensor(0.60061)
379,93425.png,person,tensor(0.53065)
381,21853.png,car,tensor(0.89470)
384,94786.png,person,tensor(0.76998)
385,64127.png,person,tensor(0.86264)
385,64127.png,cup,tensor(0.84652)
385,64127.png,cup,tensor(0.77013)
385,64127.png,potted plant,tensor(0.73461)
385,64127.png,person,tensor(0.52917)
386,05239.png,dog,tensor(0.85740)
386,05239.png,person,tensor(0.66163)
386,05239.png,vase,tensor(0.62227)
386,05239.png,bowl,tensor(0.54180)
387,36079.png,person,tensor(0.81115)
387,36079.png,person,tensor(0.79922)
388,24380.png,person,tensor(0.84910)
388,24380.png,oven,tensor(0.72836)
389,29581.png,person,tensor(0.68306)
389,29581.png,person,tensor(0.58620)
389,29581.png,person,tensor(0.54884)
390,61408.png,person,tensor(0.54415)
391,82947.png,bottle,tensor(0.70839)
391,82947.png,person,tensor(0.51779)
392,15638.png,vase,tensor(0.81515)
393,54301.png,laptop,tensor(0.73947)
395,45029.png,toilet,tensor(0.91377)
396,13248.png,person,tensor(0.75757)
397,18674.png,cow,tensor(0.50879)
401,21439.png,person,tensor(0.58210)
401,21439.png,person,tensor(0.57781)
405,68527.png,tie,tensor(0.85314)
405,68527.png,person,tensor(0.68675)
408,20568.png,sheep,tensor(0.75348)
408,20568.png,sheep,tensor(0.58923)
408,20568.png,person,tensor(0.58369)
408,20568.png,sheep,tensor(0.56188)
408,20568.png,sheep,tensor(0.51694)
411,63957.png,person,tensor(0.78675)
412,93185.png,person,tensor(0.55363)
413,71503.png,tie,tensor(0.59403)
415,93758.png,person,tensor(0.51038)
417,09375.png,person,tensor(0.85134)
417,09375.png,person,tensor(0.70500)
418,76548.png,person,tensor(0.73099)
418,76548.png,person,tensor(0.65966)
419,48173.png,person,tensor(0.80986)
419,48173.png,person,tensor(0.79272)
419,48173.png,person,tensor(0.77750)
419,48173.png,person,tensor(0.71978)
419,48173.png,person,tensor(0.70897)
419,48173.png,person,tensor(0.61948)
420,98374.png,person,tensor(0.87809)
420,98374.png,person,tensor(0.85999)
421,20143.png,person,tensor(0.67770)
424,51972.png,airplane,tensor(0.63727)
425,47913.png,person,tensor(0.85553)
425,47913.png,person,tensor(0.70353)
425,47913.png,person,tensor(0.67286)
425,47913.png,person,tensor(0.63111)
427,75926.png,teddy bear,tensor(0.63241)
430,60917.png,person,tensor(0.75002)
431,76490.png,person,tensor(0.63169)
431,76490.png,person,tensor(0.54535)
